,x,y
0,1.7852423,3.4660296
1,1.815469,2.495813
2,2.047117,1.4402641
3,2.62956,0.29143837
4,2.75421,-0.71494573
5,1.7977439,-1.5446982
6,0.7960157,-1.9506162
7,0.3715171,-2.1689324
8,-0.42454237,-2.2177265
9,-0.7584439,-2.1353266
10,-1.1412637,-1.9791875
11,-1.4205883,-1.8224999
12,-1.4700814,-1.8993243
13,-1.6313661,-1.6818106
14,-1.85497,-1.4419073
15,-2.025473,-1.1400398
16,-2.3970866,-0.8329135
17,-2.4852166,-0.6458234
18,-2.6671627,-0.32372272
19,-2.8012679,-0.013201763
20,-2.7867255,0.40026495
21,-2.7509928,0.8037622
22,-2.5886905,1.604521
23,-1.5338088,3.0936203
24,0.36985087,4.120315
25,1.4988352,4.002359
26,2.3371959,3.3967485
27,2.7150886,1.9930865
28,3.3299584,1.0972496
29,3.6727366,0.178096
30,3.4893734,-0.71775925
31,3.1120796,-1.4862998
32,2.6405275,-1.9117752
33,2.105063,-2.1591983
34,1.6024709,-2.4918847
35,1.1821558,-2.670433
36,0.8894409,-2.7997217
37,0.3725158,-2.7253366
38,-0.1683308,-2.5465503
39,-0.6844173,-2.3175867
40,-1.3169423,-1.7964501
41,-1.7664223,-1.3406609
42,-1.9470515,-0.91369855
43,-2.3118532,-0.342015
44,-2.5155747,-0.04739691
45,-2.798179,0.49364045
46,-2.8898172,0.81852126
47,-2.649178,1.4244871
48,-1.9096565,2.460656
49,-0.9102482,3.3547935
50,0.11986236,3.8884652
51,1.0875734,3.82083
52,2.519659,2.6988764
53,3.26284,1.283665
54,3.696208,0.24581233
55,3.7626843,0.03953947
56,3.6211069,-0.41976973
57,3.006836,-0.61893433
58,2.7352033,-0.5972813
59,2.462021,-0.73118824
60,1.658773,-0.79739124
61,0.9782595,-1.0360162
62,0.49127957,-1.2434916
63,-0.22831197,-1.3735315
64,-0.70535886,-1.2282156
65,-1.5579528,-0.7805869
66,-2.08912,-0.4828444
67,-2.3220413,-0.19173963
68,-2.2461107,-0.043348163
69,-2.2343714,0.3193379
70,-2.3539052,0.8188191
71,-2.2957363,1.1368555
72,-2.4621277,1.1291728
73,-2.2381535,1.6466671
74,-2.1003642,1.9633977
75,-1.1913196,3.1397157
76,-0.40117773,4.1845016
77,0.68205625,4.176125
78,1.7752709,3.389887
79,2.304668,2.222724
80,2.9586587,1.2467011
81,3.2260053,0.8993633
82,3.6527286,-0.0092708375
83,3.2769253,-0.47170523
84,3.1603518,-0.91194826
85,2.6891713,-1.1740516
86,2.2207322,-1.3774071
87,1.373956,-1.6484736
88,0.9584535,-2.3065248
89,0.5004709,-2.522028
90,-0.00897193,-2.6007564
91,-0.540418,-2.5126865
92,-0.6941462,-2.4819477
93,-1.287241,-1.9732482
94,-1.8288094,-1.3088168
95,-1.9625618,-1.0064286
96,-2.567127,-0.4855116
97,-2.870121,-0.09845846
98,-2.9736214,0.20441498
99,-2.5975556,0.8718046
100,-1.9975152,1.7488308
101,-1.2525343,3.0740926
102,-0.67598724,3.9363139
103,0.3733059,4.4531984
104,1.3611745,3.8734744
105,2.2885184,2.7783642
106,2.3215668,1.9788896
107,3.2226877,1.351556
108,3.6148002,0.44648314
109,3.7852397,-0.6286119
110,3.4808211,-1.0670117
111,3.152661,-1.4774823
112,2.6825492,-2.0300615
113,1.9132682,-2.2525957
114,1.1178586,-2.5217946
115,0.6625777,-2.5575774
116,0.29975352,-2.4907286
117,-0.31838042,-2.3419785
118,-0.8542391,-1.9993744
119,-1.528709,-1.4665399
120,-1.8545738,-1.0891153
121,-1.7953576,-0.8129347
122,-2.1581562,-0.15782055
123,-2.5270452,0.32032955
124,-2.7792435,0.52144355
125,-2.836541,0.9054582
126,-2.6797214,1.3215739
127,-1.3178444,2.6953578
128,-0.6211143,3.5805957
129,0.14861178,4.219163
130,1.0817667,4.281932
131,2.4580247,3.6586103
132,3.7522564,2.182542
133,4.123519,0.7500625
134,4.33034,0.22853437
135,4.3158298,-0.38760996
136,4.129313,-0.75038517
137,3.3602383,-1.5146633
138,2.820701,-1.9022465
139,2.5200202,-2.1731138
140,2.0996974,-2.3408384
141,1.7638822,-2.5243852
142,1.1981201,-2.8154402
143,0.65212333,-2.8135197
144,0.25027192,-2.7122092
